user_id,amount,timestamp,device_id,latitude,longitude,hour,velocity,geo_diff,amount_deviation,is_weekend,device_familiarity,location_familiarity,time_since_last,is_fraud
user_8270,12.701897882662157,2025-03-26T05:54:33.125793,device_67,42.623336064547146,-119.75885057658604,7,6,0.07427056822490839,0.07973919181704632,0,0.8847995551618143,0.3695978757017687,0.23785218995463672,0
user_1860,155.02821078274243,2025-03-30T05:54:33.125793,device_71,28.229232495957834,-81.34523328749933,20,4,0.14027145328421728,0.4812248399735318,0,0.3034794758086992,0.9392032665243979,0.1393969422326343,0
user_6390,1.4779404593500627,2025-04-12T05:54:33.125793,device_25,26.42071946096699,-78.43633780304252,2,3,0.18826455981792262,0.12882107625175127,0,0.83761255763921,0.17507133034562045,0.2257652714630626,0
user_6191,18.595628722111687,2025-04-16T05:54:33.125793,device_22,27.117041555769706,-93.09468108873727,11,4,0.03666461522313962,0.10988932384179328,0,0.501076326763066,0.7493174658589438,0.794561647927217,0
user_6734,80.90517508964885,2025-04-11T05:54:33.125793,device_3,36.280336870670794,-85.40007202137058,17,6,0.005473495418042209,0.007601048805366376,0,0.9332901615793321,0.7258868717099098,0.48983555257727834,0
user_7265,51.43910461276911,2025-03-24T05:54:33.125793,device_12,33.073241632148374,-76.64956321661667,14,4,0.12901358755786776,0.16299929050772294,0,0.9315459356183096,0.8715597802142399,0.020967686064448394,0
user_1466,92.76532249215408,2025-04-08T05:54:33.125793,device_42,39.17160692657528,-109.02121586255399,13,7,0.01276470461224244,0.13756736252844712,0,0.5942925195001352,0.8491113663250326,0.009156084048564422,0
user_5426,416.69636697421646,2025-03-23T05:54:33.125793,device_42,29.66271867221264,-113.51927214664278,8,6,0.0906420189412766,0.01986493152568426,0,0.8194809447755854,0.6029242778094053,0.2236271940369737,0
user_6578,256.8333974764203,2025-04-13T05:54:33.125793,device_58,29.415883768566562,-118.94027991240488,4,6,0.11488001591518694,0.031297442765470196,1,0.4849651180319671,0.7514228663883062,0.4414338608756923,0
user_9322,3.549113766833123,2025-03-20T05:54:33.125793,device_20,30.29564645505229,-79.59449368724727,14,8,0.11291603807428206,0.14376501663223465,0,0.7735141256361454,0.40937660499834194,0.2123715106002691,0
user_2685,1.7930980461004726,2025-04-16T05:54:33.125793,device_9,35.93246214029821,-83.89701972539885,7,7,0.018776658342877617,0.02668689780840885,0,0.49401187212812536,0.42007168800513345,0.3879712026846746,0
user_1769,32.79508347328776,2025-04-10T05:54:33.125793,device_90,26.176759312055957,-108.11688647513142,22,7,0.093087491644878,0.13625354427373934,0,0.5600285473291459,0.5429283596736558,0.21749720751019883,0
user_7949,2.634842683787368,2025-03-31T05:54:33.125793,device_34,45.860768565640456,-104.12148726085185,2,5,0.26768633219250354,0.07317940777110592,0,0.7001035438630417,0.6955391301960386,0.041666777788146835,0
user_3433,1.1166085596798971,2025-04-11T05:54:33.125793,device_98,38.15158606980486,-71.20327230331965,11,6,0.0379400492055655,0.22372516446187402,1,0.8484643565262461,0.618619601671288,0.11652278279713227,0
user_6311,32.27730290533118,2025-03-23T05:54:33.125793,device_66,29.03484185880577,-94.61537315526235,4,7,0.19338176659118936,0.43996829330081977,0,0.3598657345917942,0.9626051577876245,0.3325794258457591,0
user_6051,47.01976231995161,2025-04-15T05:54:33.125793,device_13,32.48336971564639,-79.92960158351096,8,4,0.007945185214805233,0.1853219814518809,0,0.7869346968597968,0.4138725742009003,0.05898217906958114,0
user_7420,261.57236309047136,2025-03-20T05:54:33.125793,device_28,27.95916291877029,-104.42511358350997,19,9,0.08118731855094062,0.25787608911889376,0,0.6844396954319054,0.7543835461367514,0.2096383746823981,0
user_2184,63.602107397989705,2025-04-09T05:54:33.125793,device_6,37.86371244081303,-115.03755775533939,2,1,0.05876437198865465,0.14697462747823756,0,0.8272719631050364,0.6245059567014623,0.09989582510135597,0
user_5555,357.57321163369517,2025-03-31T05:54:33.125793,device_30,42.48205119795679,-109.23716008183365,22,6,0.04058911316811019,0.1819033676874807,0,0.2994161297445857,0.9292579462910429,0.2623058910101838,1
user_4385,34.23783359178836,2025-03-23T05:54:33.125793,device_84,38.24380229599733,-92.57534727699982,7,9,0.05312382584083636,0.05460755215757211,0,0.7889547561739492,0.32812077796961214,0.49160445527310664,0
user_7396,3.65316765524221,2025-04-09T05:54:33.125793,device_88,40.29723558123919,-124.99105977848393,20,2,0.00780370569064934,0.3811179620680689,0,0.6431411842767094,0.4433157368499179,0.11623298706162376,0
user_9666,68.94303502405653,2025-03-27T05:54:33.125793,device_25,33.07830520818432,-70.73840662719289,12,9,0.1518360436202494,0.024636406158479736,1,0.9891883701078555,0.5586018764043044,0.5442949497242108,0
user_3558,148.63143474999103,2025-04-17T05:54:33.125793,device_79,43.17536612580376,-118.45048508634648,7,7,0.015245149219875341,0.023217098177122895,0,0.6070944387371144,0.4792725684831442,0.07960528428013705,0
user_8849,36.11204971875335,2025-03-22T05:54:33.125793,device_33,45.35555950352573,-116.37146358742413,4,5,0.009471798443868298,0.024327667500527998,0,0.585054040577407,0.5978526182176528,0.5259863481553715,0
user_3047,176.94265517773457,2025-04-04T05:54:33.125793,device_95,46.75073029256225,-80.72726349283296,6,3,0.27271562310809855,0.07908093632517223,1,0.6148288242221686,0.7880924336994728,0.36974553784341446,0
user_3747,16.695244701244984,2025-04-13T05:54:33.125793,device_8,42.69993200624252,-121.84700462234872,4,1,0.02262152047404906,0.2469197746906465,0,0.5652945426927282,0.48245331588291557,0.09253592476279192,0
user_1189,45.551733300075234,2025-03-23T05:54:33.125793,device_94,46.2799144768892,-80.9786431819315,8,6,0.008557269500652515,0.011098694516801321,0,0.5690884989362627,0.6499059734503218,0.31493774092342947,0
user_3734,15.463801073638646,2025-04-17T05:54:33.125793,device_95,44.44520863687311,-73.15889167096266,4,0,0.09090504529334778,0.6600075263519096,0,0.24468603970394687,0.7986137549643799,0.4592365854636148,0
user_4005,712.3471672977124,2025-04-11T05:54:33.125793,device_47,26.262062284208607,-97.82982492160838,7,6,0.17069395252955913,0.33785206764671755,0,0.7270036196219071,0.9394660912960154,0.23968254029740713,0
user_5658,70.94401390906323,2025-03-25T05:54:33.125793,device_13,31.93135448899394,-87.08920798381371,11,9,0.032411791040237586,0.09254313357560805,1,0.6725911671213806,0.6060447262666316,0.049411143197229786,0
user_2899,3.76196829717403,2025-03-29T05:54:33.125793,device_71,35.24951201417015,-83.10362243638394,3,9,0.13101043658133024,0.045480247483825134,0,0.7608731284037387,0.8425355035489857,0.11909429342692915,0
user_8734,323.40202305731736,2025-04-10T05:54:33.125793,device_6,45.19927837742266,-88.53459969527265,8,6,0.018778102675282567,0.1495083972998742,0,0.2750394935980286,0.6651657240869252,0.14769333011198618,0
user_2267,6.6874347988098375,2025-04-04T05:54:33.125793,device_95,38.17442008567924,-89.60040292466044,21,9,0.050630820467978926,0.10208900471170887,0,0.7746541921640787,0.7897028239954116,0.11565338786574095,0
user_2528,20.502440735997492,2025-03-30T05:54:33.125793,device_85,40.311021177499065,-124.56821725221619,21,2,0.05104077377945304,0.34912051575461295,1,0.8802662380649453,0.9025231776161418,0.035294374824161985,0
user_4556,40.54657014939226,2025-04-13T05:54:33.125793,device_92,28.649012472634002,-123.85989663402249,13,3,0.01987494130601024,0.2971204477334586,0,0.9442502841437808,0.9664292304333255,0.13981274577739297,0
